nbProcess=3;
nbJobs =10;
nbMchs =10;
Process1=[3,3,3,3,3,3,3,3,3,3];
pidle=[1,2,3,1,2,3,1,2,3,1];
EnergyS=[10,30,60,10,30,60,10,20,30,60];
TB=[10,15,20,10,15,20,10,20,15,20];
x=
[
[ [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   ]
[ [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   ]
[ [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   ]
[ [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   ]
[ [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   ]
[ [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   ]
[ [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   ]
[ [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   ]
[ [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   ]
[ [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   [1 1 1]   ]
];

ptime =
[
[ [1 4 3]   [2 4 6]   [8 9 7]   [5 4 7]   [7 5 6]   [8 7 4]   [1 3 5]   [5 8 6]   [3 4 8]   [4 3 9]   ]
[ [4 1 2]   [10 8 11]   [5 3 1]   [10 2 3]   [10 6 1]   [9 3 7]   [7 8 4]   [7 3 2]   [9 6 5]   [3 1 2]   ]
[ [6 1 5]   [4 7 2]   [8 6 8]   [6 3 12]   [4 3 4]   [10 12 3]   [8 1 2]   [11 10 13]   [1 2 4]   [1 8 4]   ]
[ [9 3 1]   [5 1 7]   [9 1 5]   [4 8 1]   [5 9 1]   [8 5 6]   [3 2 1]   [3 7 5]   [3 5 8]   [6 1 2]   ]
[ [3 4 5]   [9 9 5]   [4 2 4]   [9 7 6]   [6 8 10]   [4 4 3]   [4 3 2]   [2 5 4]   [8 7 6]   [7 9 3]   ]
[ [5 8 6]   [8 6 3]   [3 6 9]   [5 4 5]   [3 2 4]   [2 3 4]   [9 6 1]   [9 13 3]   [1 3 1]   [1 4 5]   ]
[ [2 10 9]   [4 1 5]   [5 4 1]   [1 6 8]   [5 8 3]   [7 6 1]   [4 11 8]   [8 4 5]   [6 1 2]   [2 1 2]   ]
[ [8 4 5]   [15 10 14]   [3 1 2]   [7 9 3]   [15 6 11]   [8 9 5]   [13 2 14]   [5 6 7]   [7 9 3]   [6 4 4]   ]
[ [9 11 10]   [8 7 9]   [8 7 3]   [1 8 5]   [2 1 13]   [3 2 1]   [10 13 5]   [12 8 9]   [5 6 10]   [20 17 10]   ]
[ [5 4 3]   [4 1 2]   [1 2 4]   [6 4 2]   [6 7 9]   [10 15 11]   [7 3 7]   [8 4 5]   [4 7 12]   [6 15 23]   ]
];

power1=
[
[ [3.7 4.4 4.4 ]   [3.6 3.4 4.9 ]   [4.3 4.2 3.2 ]   [3.8 4.8 4.5 ]   [4.4 3.2 4.9 ]   [3.4 4.8 4.4 ]   [3.4 4.2 3.6 ]   [3.6 4.2 3.4 ]   [4.1 4 3.8 ]   [3.9 3 4 ]   ]
[ [4.7 4.2 4.2 ]   [4.2 4.6 4.4 ]   [4.9 4.6 4.8 ]   [4.2 4.4 3.3 ]   [3.4 3 3.4 ]   [3.7 3.1 3.2 ]   [4.9 3.6 3.6 ]   [3.7 5 4.4 ]   [4.9 4.2 4.2 ]   [4.8 3.3 3.8 ]   ]
[ [4.5 4.6 4.9 ]   [4.7 4.2 4 ]   [5 3.6 3.6 ]   [3.7 3.9 4.4 ]   [4.7 4.1 3.1 ]   [4.8 4 4.1 ]   [3.7 3.6 3.6 ]   [3.8 3.5 4.9 ]   [3.5 4.8 4.1 ]   [5 3.6 4.7 ]   ]
[ [3.8 4 4.4 ]   [4.8 4.6 4.3 ]   [4.2 4.2 4.7 ]   [3.7 3.2 4.7 ]   [4 4.7 3.1 ]   [5 4.5 3.4 ]   [4.6 3 3.8 ]   [4.9 4.5 4.8 ]   [3.7 4.9 3.7 ]   [3.2 5 3.2 ]   ]
[ [4.8 3.7 4.2 ]   [4 4 4 ]   [3.7 3.1 4.4 ]   [4.6 3.9 3.1 ]   [4.8 5 4.5 ]   [3.3 3.4 3.2 ]   [3.4 3.5 3.9 ]   [4.3 4.2 4.8 ]   [3.8 4.9 5 ]   [4.3 4.6 3.9 ]   ]
[ [4.1 3.5 4.7 ]   [5 4.8 4.7 ]   [3.7 3.1 4.2 ]   [3.2 3.6 4.3 ]   [3.6 4.1 4.3 ]   [4.3 4.1 4.1 ]   [3.3 4.8 3.5 ]   [4.4 4.4 4.5 ]   [4.6 4.1 4.5 ]   [4.8 4.8 4 ]   ]
[ [4.2 4.4 4.6 ]   [4.1 3.5 3.7 ]   [4.4 4 3.2 ]   [3.9 4.1 3.6 ]   [4.8 3.6 3.8 ]   [4.5 4.6 4 ]   [4.8 4.7 3.3 ]   [4.8 4.1 3.4 ]   [4.3 3.2 4.6 ]   [3.8 3.8 3 ]   ]
[ [4.9 4.3 4.8 ]   [4.3 3.8 3 ]   [4.5 4.3 4.9 ]   [4.3 4.6 4.2 ]   [4 4.3 4.7 ]   [3.6 3.2 4 ]   [4.2 3.5 4.9 ]   [4.7 4.3 3.6 ]   [3.1 3 3.9 ]   [4.9 4.9 4.3 ]   ]
[ [3.8 3.8 3.2 ]   [3.1 4.9 4.5 ]   [4.1 4.1 4.2 ]   [4.2 4.3 4.8 ]   [3.3 4.9 3.6 ]   [3 4.6 4.6 ]   [4.6 4.6 3.6 ]   [4.6 4.5 4.7 ]   [3.4 3.2 4 ]   [3.3 4.7 4.4 ]   ]
[ [4.9 3.9 4.7 ]   [3.8 3 3.7 ]   [3.2 3.3 4.1 ]   [3.4 4.6 3.7 ]   [4.6 4.3 3.1 ]   [3.9 4 4.6 ]   [3.2 3 4.7 ]   [5 4.7 3.3 ]   [4.2 3.2 3.8 ]   [3.8 3.3 4.7 ]   ]
];
