m	inst	e_common	e_prod	e_idle	e_shutdown	e_total	Sec	limit	gap	cmax
wo_shutdown	new_sfjs01	330	3691	0	0	4021	0.123	600	0	66
w_shutdown	new_sfjs01	330	3691	0	0	4021	0.153	600	0	66
wo_shutdown	new_sfjs02	535	5437	0	0	5972	0.116	600	0	107
w_shutdown	new_sfjs02	535	5437	0	0	5972	2318.053	600	11.729906229	107
wo_shutdown	new_sfjs03	1105	15052	0	0	16157	0.177	600	0.000061893	221
w_shutdown	new_sfjs03	1105	15052	0	0	16157	292.661	600	0.000061893	221
wo_shutdown	new_sfjs04	1775	20950	0	0	22725	0.154	600	0.000088009	355
w_shutdown	new_sfjs04	1775	20950	0	0	22725	600.099	600	3.091133113	355
wo_shutdown	new_sfjs05	595	5025	0	0	5620	0.153	600	0	119
w_shutdown	new_sfjs05	595	5025	0	0	5620	118.511	600	0	119
wo_shutdown	new_sfjs06	1600	23158	0	0	24758	0.163	600	0.000080782	320
w_shutdown	new_sfjs06	1600	23158	0	0	24758	600.066	600	6.515146619	320
wo_shutdown	new_sfjs07	1985	37152	0	0	39137	0.19	600	0.000076654	397
w_shutdown	new_sfjs07	1985	37152	0	0	39137	600.059	600	6.373252932	397
wo_shutdown	new_sfjs08	1265	22235	0	0	23500	0.182	600	0.000085106	253
w_shutdown	new_sfjs08	1265	22235	0	0	23500	600.101	600	8.604978723	253
wo_shutdown	new_sfjs09	1050	19360	0	0	20410	0.1	600	0	210
w_shutdown	new_sfjs09	1050	19360	0	0	20410	600.043	600	7.348603626	210
wo_shutdown	new_sfjs10	2580	68198	206	0	70984	0.109	600	0.000098614	516
w_shutdown	new_sfjs10	2580	68198	0	6	70784	600.077	600	3.47403368	516
wo_shutdown	new_mfjs01	2340	75521	1	0	77862	0.145	600	0.000089903	468
w_shutdown	new_mfjs01	2340	75521	0	0	77861	600.049	600	4.951850092	468
wo_shutdown	new_mfjs02	2230	66251	0	0	68481	0.486	600	0.000087616	446
w_shutdown	new_mfjs02	2230	66251	0	0	68481	600.087	600	5.994392605	446
wo_shutdown	new_mfjs03	2330	80128	97	0	82555	0.17	600	0.000096905	466
w_shutdown	new_mfjs03	2330	80128	0	4	82462	600.08	600	5.028873906	466
wo_shutdown	new_mfjs04	2770	109022	170	0	111962	0.237	600	0.000098248	554
w_shutdown	new_mfjs04	2770	109022	0	8	111800	600.094	600	3.855876565	554
wo_shutdown	new_mfjs05	2570	102755	0	0	105325	1.08	600	0.000094944	514
w_shutdown	new_mfjs05	2570	102755	0	0	105325	600.078	600	4.014137194	514
wo_shutdown	new_mfjs06	3170	130475	36	0	133681	0.757	600	0.000097246	634
w_shutdown	new_mfjs06	3170	130475	0	2	133647	600.071	600	3.204224562	634
wo_shutdown	new_mfjs07	4395	183289	248	0	187932	4.161	600	0.000095779	879
w_shutdown	new_mfjs07	4395	183289	0	10	187694	600.083	600	2.402250472	879
wo_shutdown	new_mfjs08	4420	203932	142	0	208494	24.417	600	0.000095926	884
w_shutdown	new_mfjs08	4420	204237	1	4	208662	600.042	600	2.431832341	884
wo_shutdown	new_mfjs09	5350	231667	93	0	237110	600.049	600	0.11552444	1070
w_shutdown	new_mfjs09	5350	231667	0	6	237023	600.073	600	2.121675955	1070
wo_shutdown	new_mfjs10	6145	280538	348	0	287031	600.047	600	0.17123586	1229
w_shutdown	new_mfjs10	6145	297339	129	70	303683	600.059	600	1.749798309	1229
